partner,host,class,socket,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,m_eager_next_bytes,eager_score
112,ccc0393.campuscluster.illinois.edu,inter,0,2.660083e-06,2.652489e-06,3.0091839708927167e-09,2.6585280519179046,195.223660619738,1011,8088,8224,0.3982756618350757
113,ccc0393.campuscluster.illinois.edu,inter,1,2.6965175e-06,2.4847365e-06,7.897114687471279e-10,10.130282155699154,416.77897006516446,1011,8088,8224,0.4819867892891894
114,ccc0393.campuscluster.illinois.edu,inter,0,2.669992e-06,2.6628385e-06,3.0144321790721657e-09,2.653899482476457,197.5881917074568,1011,8088,8224,0.39965747053737466
115,ccc0393.campuscluster.illinois.edu,inter,1,2.7052035e-06,2.490708e-06,7.9036374033719e-10,10.121921833847018,412.154889242492,1011,8088,8224,0.4764602496223756
116,ccc0393.campuscluster.illinois.edu,inter,0,2.660459e-06,2.658956e-06,3.0084649790149805e-09,2.6591634125052463,197.20693004696622,1011,8088,8224,0.39961193991004973
117,ccc0393.campuscluster.illinois.edu,inter,1,2.6826715e-06,2.482587e-06,7.893626751361892e-10,10.134758396854469,403.8327758631252,1011,8088,8224,0.4799747717846072
118,ccc0393.campuscluster.illinois.edu,inter,0,2.662187e-06,2.6605495e-06,2.9968601611404416e-09,2.6694605586653855,195.75144788685924,1011,8088,8224,0.39400546245742274
119,ccc0393.campuscluster.illinois.edu,inter,1,2.689058e-06,2.4880325e-06,7.910391581401893e-10,10.11327937141416,409.55540924226756,1011,8088,8224,0.4803002860448235
120,ccc0393.campuscluster.illinois.edu,inter,0,2.6649225e-06,2.6436825e-06,2.996274776108734e-09,2.6699820936948946,194.8396336577203,1011,8088,8224,0.4005015721778759
121,ccc0393.campuscluster.illinois.edu,inter,1,2.683007e-06,2.490798e-06,7.912973439398735e-10,10.109979593976593,299.5841799587797,1011,8088,8224,0.47817249691361946
122,ccc0393.campuscluster.illinois.edu,inter,0,2.6675575e-06,2.6623125e-06,3.0041551359686298e-09,2.662978320998246,196.02065689749656,1011,8088,8224,0.3974437591633838
123,ccc0393.campuscluster.illinois.edu,inter,1,2.6889125e-06,2.4855525e-06,7.921566575101861e-10,10.099012517479386,403.773320355161,1011,8088,8224,0.4832282307382319
124,ccc0393.campuscluster.illinois.edu,inter,0,2.6640405e-06,2.660825e-06,3.0024056184709017e-09,2.664530052429867,196.14860618757234,1011,8088,8224,0.39583266412413626
125,ccc0393.campuscluster.illinois.edu,inter,1,2.707097e-06,2.5024855e-06,7.899315306299591e-10,10.12746002633939,415.91814372225605,1011,8088,8224,0.4801558704035021
126,ccc0393.campuscluster.illinois.edu,inter,0,2.680968e-06,2.667888e-06,2.999050153552457e-09,2.667511242025673,197.86387352262705,1011,8088,8224,0.39954194236898005
127,ccc0393.campuscluster.illinois.edu,inter,1,2.702118e-06,2.4953915e-06,7.903816107917122e-10,10.121692978138158,405.2515460361922,1011,8088,8224,0.48144313209265355
